=== W2-02 TX: 344 fragments, uart=/dev/ttymxc3 ===
__W2_02_TX_FRAG__ idx=80 tx_id=0x50 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd0028ab20272522a808016020096500c4d816a7140000fedf78888ee5564c62ce6da20b1a99b2324000004f524946464800000057454250565038203c000000
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=81 tx_id=0x51 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd0028ab21272522a808016020096500c4d816a7140000fedf78888ee5564c62ce6da20b1a99b2324000004f524946464800000057454250565038203c000000
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=82 tx_id=0x52 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd0029ab203003009d012a200020003f016cad4f2b262426b008016020096500b6c831087d040000fede899f46d514516055b450dfe17599b0c8ac00d0202880
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=83 tx_id=0x53 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd0029ab213003009d012a200020003f016cad4f2b262426b008016020096500b6c831087d040000fede899f46d514516055b450dfe17599b0c8ac00d0202880
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=84 tx_id=0x54 status=0(OK) toa_us=59008 elapsed_ms=73.5 payload_hex=fd002aab20005f524946465800000057454250565038204c000000f003009d012a200020003f0174af502b272423301808016020096700c64010aa785e69ce1b
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=85 tx_id=0x55 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd002aab21005f524946465800000057454250565038204c000000f003009d012a200020003f0174af502b272423301808016020096700c64010aa785e69ce1b
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=86 tx_id=0x56 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd002bab206caac000feed4878118ad3cb4aa8ef0e6a93819dc131b8105d59d6f7f639acf61ecb2037f000008f524946468800000057454250565038207c0000
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=87 tx_id=0x57 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd002bab216caac000feed4878118ad3cb4aa8ef0e6a93819dc131b8105d59d6f7f639acf61ecb2037f000008f524946468800000057454250565038207c0000
INFO: unrelated frame during TX wait type=0xC0
